category,gender,age,year,division,population
totals,Male,28-24,2013,east_central,31
totals,Male,25-34,2013,east_central,51
totals,Male,35-44,2013,east_central,71
totals,Male,45-54,2013,east_central,64
totals,Male,55+,2013,east_central,78
totals,Female,28-24,2013,east_central,40
totals,Female,25-34,2013,east_central,73
totals,Female,35-44,2013,east_central,66
totals,Female,45-54,2013,east_central,101
totals,Female,55+,2013,east_central,127
video_game,Male,28-24,2013,east_central,26
video_game,Male,25-34,2013,east_central,37
video_game,Male,35-44,2013,east_central,49
video_game,Male,45-54,2013,east_central,31
video_game,Male,55+,2013,east_central,13
video_game,Female,28-24,2013,east_central,24
video_game,Female,25-34,2013,east_central,46
video_game,Female,35-44,2013,east_central,35
video_game,Female,45-54,2013,east_central,31
video_game,Female,55+,2013,east_central,32
tv,Male,28-24,2013,east_central,23
tv,Male,25-34,2013,east_central,38
tv,Male,35-44,2013,east_central,63
tv,Male,45-54,2013,east_central,62
tv,Male,55+,2013,east_central,72
tv,Female,28-24,2013,east_central,30
tv,Female,25-34,2013,east_central,65
tv,Female,35-44,2013,east_central,62
tv,Female,45-54,2013,east_central,96
tv,Female,55+,2013,east_central,120
radio,Male,28-24,2013,east_central,17
radio,Male,25-34,2013,east_central,39
radio,Male,35-44,2013,east_central,52
radio,Male,45-54,2013,east_central,53
radio,Male,55+,2013,east_central,62
radio,Female,28-24,2013,east_central,31
radio,Female,25-34,2013,east_central,61
radio,Female,35-44,2013,east_central,56
radio,Female,45-54,2013,east_central,81
radio,Female,55+,2013,east_central,98
magazine,Male,28-24,2013,east_central,31
magazine,Male,25-34,2013,east_central,49
magazine,Male,35-44,2013,east_central,69
magazine,Male,45-54,2013,east_central,64
magazine,Male,55+,2013,east_central,75
magazine,Female,28-24,2013,east_central,40
magazine,Female,25-34,2013,east_central,72
magazine,Female,35-44,2013,east_central,64
magazine,Female,45-54,2013,east_central,96
magazine,Female,55+,2013,east_central,124
movie_goers,Male,28-24,2013,east_central,31
movie_goers,Male,25-34,2013,east_central,51
movie_goers,Male,35-44,2013,east_central,71
movie_goers,Male,45-54,2013,east_central,64
movie_goers,Male,55+,2013,east_central,78
movie_goers,Female,28-24,2013,east_central,40
movie_goers,Female,25-34,2013,east_central,73
movie_goers,Female,35-44,2013,east_central,66
movie_goers,Female,45-54,2013,east_central,101
movie_goers,Female,55+,2013,east_central,127
supermarket_goer_last_4_weeks,Male,28-24,2013,east_central,30
supermarket_goer_last_4_weeks,Male,25-34,2013,east_central,51
supermarket_goer_last_4_weeks,Male,35-44,2013,east_central,71
supermarket_goer_last_4_weeks,Male,45-54,2013,east_central,64
supermarket_goer_last_4_weeks,Male,55+,2013,east_central,77
supermarket_goer_last_4_weeks,Female,28-24,2013,east_central,39
supermarket_goer_last_4_weeks,Female,25-34,2013,east_central,73
supermarket_goer_last_4_weeks,Female,35-44,2013,east_central,64
supermarket_goer_last_4_weeks,Female,45-54,2013,east_central,99
supermarket_goer_last_4_weeks,Female,55+,2013,east_central,126
tablet_owner,Male,28-24,2013,east_central,3
tablet_owner,Male,25-34,2013,east_central,10
tablet_owner,Male,35-44,2013,east_central,26
tablet_owner,Male,45-54,2013,east_central,21
tablet_owner,Male,55+,2013,east_central,15
tablet_owner,Female,28-24,2013,east_central,10
tablet_owner,Female,25-34,2013,east_central,25
tablet_owner,Female,35-44,2013,east_central,23
tablet_owner,Female,45-54,2013,east_central,36
tablet_owner,Female,55+,2013,east_central,31
all_live_theater/concerts/dance-attended_last_12_months,Male,28-24,2013,east_central,17
all_live_theater/concerts/dance-attended_last_12_months,Male,25-34,2013,east_central,21
all_live_theater/concerts/dance-attended_last_12_months,Male,35-44,2013,east_central,27
all_live_theater/concerts/dance-attended_last_12_months,Male,45-54,2013,east_central,29
all_live_theater/concerts/dance-attended_last_12_months,Male,55+,2013,east_central,43
all_live_theater/concerts/dance-attended_last_12_months,Female,28-24,2013,east_central,26
all_live_theater/concerts/dance-attended_last_12_months,Female,25-34,2013,east_central,40
all_live_theater/concerts/dance-attended_last_12_months,Female,35-44,2013,east_central,34
all_live_theater/concerts/dance-attended_last_12_months,Female,45-54,2013,east_central,65
all_live_theater/concerts/dance-attended_last_12_months,Female,55+,2013,east_central,68
social_media_[social_media_user],Male,28-24,2013,east_central,29
social_media_[social_media_user],Male,25-34,2013,east_central,46
social_media_[social_media_user],Male,35-44,2013,east_central,57
social_media_[social_media_user],Male,45-54,2013,east_central,51
social_media_[social_media_user],Male,55+,2013,east_central,42
social_media_[social_media_user],Female,28-24,2013,east_central,38
social_media_[social_media_user],Female,25-34,2013,east_central,70
social_media_[social_media_user],Female,35-44,2013,east_central,60
social_media_[social_media_user],Female,45-54,2013,east_central,84
social_media_[social_media_user],Female,55+,2013,east_central,94
totals,Male,28-24,2014,east_central,28
totals,Male,25-34,2014,east_central,51
totals,Male,35-44,2014,east_central,77
totals,Male,45-54,2014,east_central,81
totals,Male,55+,2014,east_central,76
totals,Female,28-24,2014,east_central,49
totals,Female,25-34,2014,east_central,90
totals,Female,35-44,2014,east_central,105
totals,Female,45-54,2014,east_central,95
totals,Female,55+,2014,east_central,112
video_game,Male,28-24,2014,east_central,22
video_game,Male,25-34,2014,east_central,39
video_game,Male,35-44,2014,east_central,52
video_game,Male,45-54,2014,east_central,36
video_game,Male,55+,2014,east_central,10
video_game,Female,28-24,2014,east_central,26
video_game,Female,25-34,2014,east_central,53
video_game,Female,35-44,2014,east_central,58
video_game,Female,45-54,2014,east_central,33
video_game,Female,55+,2014,east_central,16
digital_music,Male,28-24,2014,east_central,28
digital_music,Male,25-34,2014,east_central,51
digital_music,Male,35-44,2014,east_central,77
digital_music,Male,45-54,2014,east_central,81
digital_music,Male,55+,2014,east_central,76
digital_music,Female,28-24,2014,east_central,49
digital_music,Female,25-34,2014,east_central,90
digital_music,Female,35-44,2014,east_central,105
digital_music,Female,45-54,2014,east_central,95
digital_music,Female,55+,2014,east_central,112
tv,Male,28-24,2014,east_central,18
tv,Male,25-34,2014,east_central,42
tv,Male,35-44,2014,east_central,66
tv,Male,45-54,2014,east_central,73
tv,Male,55+,2014,east_central,65
tv,Female,28-24,2014,east_central,40
tv,Female,25-34,2014,east_central,76
tv,Female,35-44,2014,east_central,91
tv,Female,45-54,2014,east_central,91
tv,Female,55+,2014,east_central,101
radio,Male,28-24,2014,east_central,15
radio,Male,25-34,2014,east_central,40
radio,Male,35-44,2014,east_central,52
radio,Male,45-54,2014,east_central,67
radio,Male,55+,2014,east_central,57
radio,Female,28-24,2014,east_central,40
radio,Female,25-34,2014,east_central,77
radio,Female,35-44,2014,east_central,91
radio,Female,45-54,2014,east_central,76
radio,Female,55+,2014,east_central,81
magazine,Male,28-24,2014,east_central,20
magazine,Male,25-34,2014,east_central,39
magazine,Male,35-44,2014,east_central,63
magazine,Male,45-54,2014,east_central,71
magazine,Male,55+,2014,east_central,73
magazine,Female,28-24,2014,east_central,39
magazine,Female,25-34,2014,east_central,74
magazine,Female,35-44,2014,east_central,95
magazine,Female,45-54,2014,east_central,87
magazine,Female,55+,2014,east_central,107
movie_goers,Male,28-24,2014,east_central,28
movie_goers,Male,25-34,2014,east_central,51
movie_goers,Male,35-44,2014,east_central,77
movie_goers,Male,45-54,2014,east_central,81
movie_goers,Male,55+,2014,east_central,76
movie_goers,Female,28-24,2014,east_central,49
movie_goers,Female,25-34,2014,east_central,90
movie_goers,Female,35-44,2014,east_central,105
movie_goers,Female,45-54,2014,east_central,95
movie_goers,Female,55+,2014,east_central,112
supermarket_goer_last_4_weeks,Male,28-24,2014,east_central,25
supermarket_goer_last_4_weeks,Male,25-34,2014,east_central,50
supermarket_goer_last_4_weeks,Male,35-44,2014,east_central,75
supermarket_goer_last_4_weeks,Male,45-54,2014,east_central,79
supermarket_goer_last_4_weeks,Male,55+,2014,east_central,75
supermarket_goer_last_4_weeks,Female,28-24,2014,east_central,49
supermarket_goer_last_4_weeks,Female,25-34,2014,east_central,90
supermarket_goer_last_4_weeks,Female,35-44,2014,east_central,105
supermarket_goer_last_4_weeks,Female,45-54,2014,east_central,94
supermarket_goer_last_4_weeks,Female,55+,2014,east_central,111
tablet_owner,Male,28-24,2014,east_central,6
tablet_owner,Male,25-34,2014,east_central,20
tablet_owner,Male,35-44,2014,east_central,35
tablet_owner,Male,45-54,2014,east_central,29
tablet_owner,Male,55+,2014,east_central,24
tablet_owner,Female,28-24,2014,east_central,17
tablet_owner,Female,25-34,2014,east_central,50
tablet_owner,Female,35-44,2014,east_central,57
tablet_owner,Female,45-54,2014,east_central,38
tablet_owner,Female,55+,2014,east_central,34
all_live_theater/concerts/dance-attended_last_12_months,Male,28-24,2014,east_central,10
all_live_theater/concerts/dance-attended_last_12_months,Male,25-34,2014,east_central,28
all_live_theater/concerts/dance-attended_last_12_months,Male,35-44,2014,east_central,38
all_live_theater/concerts/dance-attended_last_12_months,Male,45-54,2014,east_central,46
all_live_theater/concerts/dance-attended_last_12_months,Male,55+,2014,east_central,32
all_live_theater/concerts/dance-attended_last_12_months,Female,28-24,2014,east_central,23
all_live_theater/concerts/dance-attended_last_12_months,Female,25-34,2014,east_central,42
all_live_theater/concerts/dance-attended_last_12_months,Female,35-44,2014,east_central,65
all_live_theater/concerts/dance-attended_last_12_months,Female,45-54,2014,east_central,51
all_live_theater/concerts/dance-attended_last_12_months,Female,55+,2014,east_central,59
social_media_[social_media_user],Male,28-24,2014,east_central,25
social_media_[social_media_user],Male,25-34,2014,east_central,50
social_media_[social_media_user],Male,35-44,2014,east_central,67
social_media_[social_media_user],Male,45-54,2014,east_central,64
social_media_[social_media_user],Male,55+,2014,east_central,46
social_media_[social_media_user],Female,28-24,2014,east_central,48
social_media_[social_media_user],Female,25-34,2014,east_central,88
social_media_[social_media_user],Female,35-44,2014,east_central,97
social_media_[social_media_user],Female,45-54,2014,east_central,84
social_media_[social_media_user],Female,55+,2014,east_central,75
totals,Male,28-24,2015,east_central,33
totals,Male,25-34,2015,east_central,53
totals,Male,35-44,2015,east_central,71
totals,Male,45-54,2015,east_central,64
totals,Male,55+,2015,east_central,81
totals,Female,28-24,2015,east_central,42
totals,Female,25-34,2015,east_central,84
totals,Female,35-44,2015,east_central,99
totals,Female,45-54,2015,east_central,93
totals,Female,55+,2015,east_central,109
video_game,Male,28-24,2015,east_central,24
video_game,Male,25-34,2015,east_central,39
video_game,Male,35-44,2015,east_central,45
video_game,Male,45-54,2015,east_central,25
video_game,Male,55+,2015,east_central,20
video_game,Female,28-24,2015,east_central,20
video_game,Female,25-34,2015,east_central,46
video_game,Female,35-44,2015,east_central,45
video_game,Female,45-54,2015,east_central,30
video_game,Female,55+,2015,east_central,24
streaming_video,Male,28-24,2015,east_central,27
streaming_video,Male,25-34,2015,east_central,44
streaming_video,Male,35-44,2015,east_central,45
streaming_video,Male,45-54,2015,east_central,49
streaming_video,Male,55+,2015,east_central,54
streaming_video,Female,28-24,2015,east_central,31
streaming_video,Female,25-34,2015,east_central,62
streaming_video,Female,35-44,2015,east_central,67
streaming_video,Female,45-54,2015,east_central,70
streaming_video,Female,55+,2015,east_central,80
tv,Male,28-24,2015,east_central,22
tv,Male,25-34,2015,east_central,39
tv,Male,35-44,2015,east_central,54
tv,Male,45-54,2015,east_central,59
tv,Male,55+,2015,east_central,79
tv,Female,28-24,2015,east_central,26
tv,Female,25-34,2015,east_central,62
tv,Female,35-44,2015,east_central,87
tv,Female,45-54,2015,east_central,82
tv,Female,55+,2015,east_central,105
magazine,Male,28-24,2015,east_central,25
magazine,Male,25-34,2015,east_central,36
magazine,Male,35-44,2015,east_central,54
magazine,Male,45-54,2015,east_central,57
magazine,Male,55+,2015,east_central,73
magazine,Female,28-24,2015,east_central,28
magazine,Female,25-34,2015,east_central,71
magazine,Female,35-44,2015,east_central,82
magazine,Female,45-54,2015,east_central,82
magazine,Female,55+,2015,east_central,92
movie_goers,Male,28-24,2015,east_central,33
movie_goers,Male,25-34,2015,east_central,53
movie_goers,Male,35-44,2015,east_central,71
movie_goers,Male,45-54,2015,east_central,64
movie_goers,Male,55+,2015,east_central,81
movie_goers,Female,28-24,2015,east_central,42
movie_goers,Female,25-34,2015,east_central,84
movie_goers,Female,35-44,2015,east_central,99
movie_goers,Female,45-54,2015,east_central,93
movie_goers,Female,55+,2015,east_central,109
supermarket_goer_last_4_weeks,Male,28-24,2015,east_central,32
supermarket_goer_last_4_weeks,Male,25-34,2015,east_central,53
supermarket_goer_last_4_weeks,Male,35-44,2015,east_central,71
supermarket_goer_last_4_weeks,Male,45-54,2015,east_central,63
supermarket_goer_last_4_weeks,Male,55+,2015,east_central,80
supermarket_goer_last_4_weeks,Female,28-24,2015,east_central,42
supermarket_goer_last_4_weeks,Female,25-34,2015,east_central,84
supermarket_goer_last_4_weeks,Female,35-44,2015,east_central,99
supermarket_goer_last_4_weeks,Female,45-54,2015,east_central,92
supermarket_goer_last_4_weeks,Female,55+,2015,east_central,107
tablet_owner,Male,28-24,2015,east_central,11
tablet_owner,Male,25-34,2015,east_central,24
